输入商品名称,匹配的SPU,匹配的SKU,期望值
Vivo Y300i 5G 12+512雾凇蓝,vivo Y300i,vivo Y300i 全网通5G 12GB+512GB 雾松蓝,vivo Y300i 全网通5G 12GB+512GB 雾松蓝
Vivo Y300Pro+ 5G(12+512)微粉,vivo Y300 Pro+,vivo Y300 Pro+ 全网通5G 12GB+512GB 微粉,vivo Y300 Pro+ 全网通5G 12GB+512GB 微粉
Vivo Y300Pro+ 5G(12+256)微粉,vivo Y300 Pro+,vivo Y300 Pro+ 全网通5G 12GB+256GB 微粉,vivo Y300 Pro+ 全网通5G 12GB+256GB 微粉
Vivo Y50 5G(8+256)白金,vivo Y50,vivo Y50 全网通5G 8GB+256GB 白金,vivo Y50 全网通5G 8GB+256GB 白金
Vivo Y50 5G(8+256)钻黑,vivo Y50,vivo Y50 全网通5G 8GB+256GB 钻黑,vivo Y50 全网通5G 8GB+256GB 钻黑
Vivo Y50 5G(8+256)天青,vivo Y50,vivo Y50 全网通5G 8GB+256GB 天青,vivo Y50 全网通5G 8GB+256GB 天青
Vivo Y500 5G(12+256)龙晶紫,vivo Y500,vivo Y500 全网通5G 12GB+256GB 龙晶紫,vivo Y500 全网通5G 12GB+256GB 龙晶紫
Vivo Y500 5G(12+256)冰川蓝,vivo Y500,vivo Y500 全网通5G 12GB+256GB 冰川蓝,vivo Y500 全网通5G 12GB+256GB 冰川蓝
Vivo Y500 5G(12+512)冰川蓝,vivo Y500,vivo Y500 全网通5G 12GB+512GB 冰川蓝,vivo Y500 全网通5G 12GB+512GB 冰川蓝
Vivo Y500 5G(12+512)玄武黑,vivo Y500,vivo Y500 全网通5G 12GB+512GB 玄武黑,vivo Y500 全网通5G 12GB+512GB 玄武黑
Vivo Y500 5G(12+512)龙晶紫,vivo Y500,vivo Y500 全网通5G 12GB+512GB 龙晶紫,vivo Y500 全网通5G 12GB+512GB 龙晶紫
Vivo Y50 5G(6+128)白金,vivo Y50,vivo Y50 全网通5G 6GB+128GB 白金,vivo Y50 全网通5G 6GB+128GB 白金
Vivo Y500Pro 5G(12+256)柔粉,vivo Y500 Pro,vivo Y500 Pro 全网通5G 12GB+256GB 柔粉,vivo Y500 Pro 全网通5G 12GB+256GB 柔粉
Vivo Y500Pro 5G(12+256)钛黑,vivo Y500 Pro,vivo Y500 Pro 全网通5G 12GB+256GB 钛黑,vivo Y500 Pro 全网通5G 12GB+256GB 钛黑
Vivo Y500Pro 5G(12+256)浅绿,vivo Y500 Pro,vivo Y500 Pro 全网通5G 12GB+256GB 浅绿,vivo Y500 Pro 全网通5G 12GB+256GB 浅绿
Vivo Y500Pro 5G(12+256)祥云金,vivo Y500 Pro,vivo Y500 Pro 全网通5G 12GB+256GB 祥云金,vivo Y500 Pro 全网通5G 12GB+256GB 祥云金
Vivo Y500Pro 5G(12+512)钛黑,vivo Y500 Pro,vivo Y500 Pro 全网通5G 12GB+512GB 钛黑,vivo Y500 Pro 全网通5G 12GB+512GB 钛黑
